tick,num_cars,waiting_cars,congestion,average_speed
0,50,7,14,1
1,50,14,28,1
2,50,18,36,1
3,50,21,42,1
4,50,24,48,1
5,50,27,54,1
6,50,30,60,1
7,50,30,60,1
8,50,30,60,1
9,50,33,66,1
10,50,34,68,1
11,50,35,70,1
12,50,35,70,1
13,50,40,80,1
14,50,40,80,1
15,50,40,80,1
16,50,40,80,1
17,50,41,82,1
18,50,42,84,1
19,50,42,84,1
20,50,44,88,1
21,50,45,90,1
22,50,45,90,1
23,50,45,90,1
24,50,45,90,1
25,50,45,90,1
26,50,45,90,1
27,50,46,92,1
28,50,46,92,1
29,50,46,92,1
30,50,46,92,1
31,50,46,92,1
32,50,46,92,1
33,50,47,94,1
34,50,47,94,1
35,50,48,96,1
36,50,48,96,1
37,50,48,96,1
38,50,48,96,1
39,50,49,98,1
40,50,49,98,1
41,50,49,98,1
42,50,50,100,1
43,50,50,100,1
44,50,50,100,1
45,50,50,100,1
46,50,50,100,1
47,50,50,100,1
48,50,50,100,1
49,50,50,100,1
50,50,50,100,1
51,50,50,100,1
52,50,50,100,1
53,50,50,100,1
54,50,50,100,1
55,50,50,100,1
56,50,50,100,1
57,50,50,100,1
58,50,50,100,1
59,50,50,100,1
60,50,50,100,1
61,50,50,100,1
62,50,50,100,1
63,50,50,100,1
64,50,50,100,1
65,50,50,100,1
66,50,50,100,1
67,50,50,100,1
68,50,50,100,1
69,50,50,100,1
70,50,50,100,1
71,50,50,100,1
72,50,50,100,1
73,50,50,100,1
74,50,50,100,1
75,50,50,100,1
76,50,50,100,1
77,50,50,100,1
78,50,50,100,1
79,50,50,100,1
80,50,50,100,1
81,50,50,100,1
82,50,50,100,1
83,50,50,100,1
84,50,50,100,1
85,50,50,100,1
86,50,50,100,1
87,50,50,100,1
88,50,50,100,1
89,50,50,100,1
90,50,50,100,1
91,50,50,100,1
92,50,50,100,1
93,50,50,100,1
94,50,50,100,1
95,50,50,100,1
96,50,50,100,1
97,50,50,100,1
98,50,50,100,1
99,50,50,100,1
100,50,50,100,1
101,50,50,100,1
102,50,50,100,1
103,50,50,100,1
104,50,50,100,1
105,50,50,100,1
106,50,50,100,1
107,50,50,100,1
108,50,50,100,1
109,50,50,100,1
110,50,50,100,1
111,50,50,100,1
112,50,50,100,1
113,50,50,100,1
114,50,50,100,1
115,50,50,100,1
116,50,50,100,1
117,50,50,100,1
118,50,50,100,1
119,50,50,100,1
120,50,50,100,1
121,50,50,100,1
122,50,50,100,1
123,50,50,100,1
124,50,50,100,1
125,50,50,100,1
126,50,50,100,1
127,50,50,100,1
128,50,50,100,1
129,50,50,100,1
130,50,50,100,1
131,50,50,100,1
132,50,50,100,1
133,50,50,100,1
134,50,50,100,1
135,50,50,100,1
136,50,50,100,1
137,50,50,100,1
138,50,50,100,1
139,50,50,100,1
140,50,50,100,1
141,50,50,100,1
142,50,50,100,1
143,50,50,100,1
144,50,50,100,1
145,50,50,100,1
146,50,50,100,1
147,50,50,100,1
148,50,50,100,1
149,50,50,100,1
150,50,50,100,1
151,50,50,100,1
152,50,50,100,1
153,50,50,100,1
154,50,50,100,1
155,50,50,100,1
156,50,50,100,1
157,50,50,100,1
158,50,50,100,1
159,50,50,100,1
160,50,50,100,1
161,50,50,100,1
162,50,50,100,1
163,50,50,100,1
164,50,50,100,1
165,50,50,100,1
166,50,50,100,1
167,50,50,100,1
168,50,50,100,1
169,50,50,100,1
170,50,50,100,1
171,50,50,100,1
172,50,50,100,1
173,50,50,100,1
174,50,50,100,1
175,50,50,100,1
176,50,50,100,1
177,50,50,100,1
178,50,50,100,1
179,50,50,100,1
180,50,50,100,1
181,50,50,100,1
182,50,50,100,1
183,50,50,100,1
184,50,50,100,1
185,50,50,100,1
186,50,50,100,1
187,50,50,100,1
188,50,50,100,1
189,50,50,100,1
190,50,50,100,1
191,50,50,100,1
192,50,50,100,1
193,50,50,100,1
194,50,50,100,1
195,50,50,100,1
196,50,50,100,1
197,50,50,100,1
198,50,50,100,1
199,50,50,100,1
200,50,50,100,1
201,50,50,100,1
202,50,50,100,1
203,50,50,100,1
204,50,50,100,1
205,50,50,100,1
206,50,50,100,1
207,50,50,100,1
208,50,50,100,1
209,50,50,100,1
210,50,50,100,1
211,50,50,100,1
212,50,50,100,1
213,50,50,100,1
214,50,50,100,1
215,50,50,100,1
216,50,50,100,1
217,50,50,100,1
218,50,50,100,1
219,50,50,100,1
220,50,50,100,1
221,50,50,100,1
222,50,50,100,1
223,50,50,100,1
224,50,50,100,1
225,50,50,100,1
226,50,50,100,1
227,50,50,100,1
228,50,50,100,1
229,50,50,100,1
230,50,50,100,1
231,50,50,100,1
232,50,50,100,1
233,50,50,100,1
234,50,50,100,1
235,50,50,100,1
236,50,50,100,1
237,50,50,100,1
238,50,50,100,1
239,50,50,100,1
240,50,50,100,1
241,50,50,100,1
242,50,50,100,1
243,50,50,100,1
244,50,50,100,1
245,50,50,100,1
246,50,50,100,1
247,50,50,100,1
248,50,50,100,1
249,50,50,100,1
250,50,50,100,1
251,50,50,100,1
252,50,50,100,1
253,50,50,100,1
254,50,50,100,1
255,50,50,100,1
256,50,50,100,1
257,50,50,100,1
258,50,50,100,1
259,50,50,100,1
260,50,50,100,1
261,50,50,100,1
262,50,50,100,1
263,50,50,100,1
264,50,50,100,1
265,50,50,100,1
266,50,50,100,1
267,50,50,100,1
268,50,50,100,1
269,50,50,100,1
270,50,50,100,1
271,50,50,100,1
272,50,50,100,1
273,50,50,100,1
274,50,50,100,1
275,50,50,100,1
276,50,50,100,1
277,50,50,100,1
278,50,50,100,1
279,50,50,100,1
280,50,50,100,1
281,50,50,100,1
282,50,50,100,1
283,50,50,100,1
284,50,50,100,1
285,50,50,100,1
286,50,50,100,1
287,50,50,100,1
288,50,50,100,1
289,50,50,100,1
290,50,50,100,1
291,50,50,100,1
292,50,50,100,1
293,50,50,100,1
294,50,50,100,1
295,50,50,100,1
296,50,50,100,1
297,50,50,100,1
298,50,50,100,1
299,50,50,100,1
300,50,50,100,1
301,50,50,100,1
302,50,50,100,1
303,50,50,100,1
304,50,50,100,1
305,50,50,100,1
306,50,50,100,1
307,50,50,100,1
308,50,50,100,1
309,50,50,100,1
310,50,50,100,1
311,50,50,100,1
312,50,50,100,1
